"year","cc","share_for_maj","share_aut","share_dem","state_dummy","state_percent","number_comp","country_text_id","v2x_regime","v2x_polyarchy","v2clkill","v2cltrnslw","v2x_execorr","v2x_ex_military","v2x_ex_hereditary","v2exl_legitperf","v2smgovfilcap","v2smgovfilprc","v2smgovshutcap","v2smgovshut","v2smgovsm","v2smgovsmmon","v2smgovsmcenprc","v2smgovshut_ord","v2smgovfilprc_ord","e_pt_coup","v2clkill_inv","PTS_A","PTS_H","PTS_S","theta_mean","theta_sd","killing_estimate_mean","killing_estimate_median","theta_mean_inv","nat_resources","gdppc","gdppc_growth","pop_total","pop_rural","trade","penetration","no_protests","no_riots","no_vio_against_civ","no_fatalities","pci_score","PTS_S_before","PTS_S_before2","theta_mean_inv_before","theta_mean_inv_before2","v2clkill_before","v2clkill_before2"
2000,"TUN",0,0,0,1,1,1,"TUN",1,0.189,-0.173,-0.405,0.776,0.2,0,0.736,1.624,-3.589,0.858,-0.62,-1.611,-2.923,-2.863,3,0,0,0.173,3,NA,3,-0.348344338268155,0.203891200695463,0,0,5.68452649196385,3.70327177976697,2170.50867078119,3.59602689821163,9893316,3617788,82.639110670191,2.750740293,0,3,0,0,52,NA,NA,NA,NA,NA,NA
2000,"UGA",NA,0,0.666666666666667,0,0,3,"UGA",1,0.309,-0.214,0.467,0.677,0.2,0,1.251,0.744,-0.26,-0.372,-0.503,0.34,-1.377,-0.309,3,2,0,0.214,4,NA,3,-1.57679194431215,0.117757337278858,13.7253333333333,0,6.91297409800784,12.0494143938765,257.829605739453,-0.0417874228725452,24020697,20468997,32.7490333383822,0.163714063,0,0,3,1249,23,NA,NA,NA,NA,NA,NA
2000,"ZAM",0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,3,"ZMB",1,0.487,0.761,0.755,0.543,0.333,0,0.979,-1.516,1.812,-0.449,1.557,1.533,0.235,1.901,4,4,0,-0.761,3,NA,2,-0.0725648639478537,0.214607502465248,0,0,5.40874701764355,9.12122495945449,364.026145370374,1.06229169242992,9891136,6448823,60.3874689884965,0.191071643,0,1,0,3,34,NA,NA,NA,NA,NA,NA
2000,"ZIM",NA,0.333333333333333,0,1,0.333333333333333,3,"ZWE",1,0.277,-1.697,-1.619,0.873,0.083,0,2.058,0.189,0.021,1.054,-0.395,-0.056,-1.047,-0.188,3,3,0,1.697,4,NA,3,-0.674992828091256,0.238550391174436,0.00733333333333333,0,6.01117498178695,3.90170876645193,565.284389703613,-4.02757591112872,11834676,7839526,74.0674111297806,0.401433535,0,3,21,44,30,NA,NA,NA,NA,NA,NA
2001,"ANG",NA,0,0,1,0.5,2,"AGO",0,0.159,-1.289,-1.057,0.882,0.333,0,-0.056,-0.031,0.922,0.148,0.335,0.617,-0.385,1.153,4,3,0,1.289,5,NA,4,-1.74252163493958,0.17673552474772,79.646,52,7.07870378863527,44.219476594374,527.464118409977,0.838227322043267,16941587,8254958,NA,0.136013867,1,1,39,9157,NA,5,NA,7.11572428144537,NA,1.289,NA
2001,"BEN",0.666666666666667,0.666666666666667,0,1,0.333333333333333,3,"BEN",2,0.613,1.565,1.386,0.681,0.214,0,0.997,-0.176,2.235,1.776,2.067,1.997,0.643,1.874,4,4,0,-1.565,NA,NA,2,1.22126351977246,0.235595039228373,0,0,4.11491863392324,3.08482932392509,508.34744771123,2.20736492388005,7212041,4424587,48.2571706392197,0.36341789,0,0,1,4,NA,2,NA,4.07653606514766,NA,-1.565,NA
2001,"BFO",0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,3,"BFA",2,0.522,0.298,2.098,0.473,0.4,0,0.188,1.316,0.348,1.452,-1.279,0.645,-0.604,-0.176,2,3,0,-0.298,1,NA,3,0.211016666135669,0.231869811679477,0,0,5.12516548756002,4.7678329673339,260.443473110803,3.42037281461964,12249764,9978658,31.6581708148511,0.157732465,1,1,0,0,NA,2,NA,5.03754818942842,NA,-0.298,NA
2001,"BOT",0.666666666666667,0,0.666666666666667,1,0.333333333333333,3,"BWA",3,0.707,1.952,1.564,0.175,0.1,0,1.124,0.575,1.932,-0.415,0.834,1.016,1.476,1.929,4,4,0,-1.952,NA,NA,1,1.64508859958813,0.260300295841415,0,0,3.69109355410756,1.16385362507893,3115.6789995428,-1.73773222971184,1761930,809395,87.5250655680957,3.430886787,0,NA,NA,0,60,1,NA,3.67571019085063,NA,-1.952,NA
2001,"BUI",0.666666666666667,0.666666666666667,0,1,0.333333333333333,3,"BDI",0,0.193,-1.456,0.18,0.403,0.833,0,-1.846,-1.652,0.031,-1.907,0.56,-1.293,-0.597,-0.522,4,3,0,1.456,5,NA,5,-1.9077197139962,0.18039342640917,216.969333333333,157,7.24390186769189,18.812078088637,135.606475784646,-0.439187876685963,6465729,5918664,20.9640456147222,0.106001245,2,0,1,3917,NA,5,NA,7.38070344893032,NA,1.456,NA
2001,"CAO",0.666666666666667,0,0.666666666666667,1,0.333333333333333,3,"CMR",1,0.307,0.903,-0.006,0.926,0.357,0,1.047,0.51,1.017,0.416,0.254,0.267,-0.464,-0.84,4,3,0,-0.903,3,NA,3,-0.998353281783322,0.199600626549843,0.052,0,6.33453543547902,5.68439536844397,706.984217524458,1.61967885394192,15493253,8344821,51.5722691890366,0.277051322,3,1,0,4,20,4,NA,6.5016436813979,NA,-0.841,NA
2001,"CDI",1,0.25,0.75,0,0,4,"CIV",1,0.455,-0.157,0.861,0.637,0.375,0,0.085,1.109,0.666,0.981,1.768,1.542,-0.402,1.292,4,3,0,0.157,2,NA,3,-1.42193601651084,0.234645179166366,9.61333333333333,0,6.75811817020653,2.32208785748223,974.77998497188,-4.68334631573148,17245468,9731963,53.1141047180447,0.395747702,3,0,3,17,24,4,NA,7.13470916958602,NA,-0.179,NA
2001,"CEN",0.5,0.5,0,1,0.5,2,"CAF",1,0.34,-0.844,0.521,0.761,0.4,0,0.944,-1.28,0.942,0.611,0.843,1.749,1.699,1.181,4,3,0,0.844,4,NA,4,-1.63332495340689,0.119183819559311,22.6266666666667,16,6.96950710710258,10.8709245460195,242.575726772934,2.13885527335542,3844773,2394525,39.7304997372329,0.078543428,0,0,9,52,NA,2,NA,5.52233438805313,NA,0.844,NA
2001,"CHA",0.333333333333333,0,0.333333333333333,1,0.666666666666667,3,"TCD",1,0.281,-1.405,-1.108,0.97,0.1,0,-1.208,-0.367,-0.588,1.157,-1.004,-0.847,-0.253,-0.726,3,2,0,1.405,4,NA,4,-1.29256763203372,0.18081525038834,1.51866666666667,0,6.62874978572941,8.36504776729485,200.361008052321,8.0010539267867,8538804,6688445,64.3219080406854,0.045934134,1,0,2,133,NA,4,NA,6.64751377140922,NA,1.405,NA
